Work,Volume,Labor_Type,Amount,Index,Duration,Total_Duration
Formwork_Installation,35.00,Foreman,1,0.0110,0.35,1
Formwork_Installation,35.00,Worker,2,0.0130,0.225,1
Site_Preparation,22.00,Foreman,1,0.0560,1.30,8
Site_Preparation,22.00,Worker,2,0.560,6.70,8
Foundation_Testing,2.50,Foreman,1,0.045,0.25,2
Foundation_Testing,2.50,Worker,2,0.85,2.00,2
Foundation_Backfill,6.20,Foreman,1,0.0130,0.09,7
Foundation_Backfill,6.20,Worker,2,0.130,0.42,7
Waterproofing_Base,8.20,Foreman,1,0.035,0.40,3
Waterproofing_Base,8.20,Worker,2,0.65,3.00,3
Sand_Base,5.10,Foreman,1,0.0320,0.16,7
Sand_Base,5.10,Worker,2,0.320,0.80,7
Stone_Foundation,5.40,Foreman,1,0.040,0.21,3
Stone_Foundation,5.40,Worker,2,0.80,2.10,3
RC_Foundation,9.00,Foreman,1,0.080,0.68,6
RC_Foundation,9.00,Worker,2,1.6,6.80,6
MEP_Rough_In,15.00,Foreman,1,0.042,0.85,4
MEP_Rough_In,15.00,Worker,3,0.72,4.00,4
Ground_Beam,1.10,Foreman,1,0.320,0.33,3
Ground_Beam,1.10,Worker,2,5.70,2.85,3
Column_Construction,1.10,Foreman,1,0.400,0.44,5
Column_Construction,1.10,Worker,2,7.10,3.85,5
Structural_Testing,2.00,Foreman,1,0.065,0.35,2
Structural_Testing,2.00,Worker,2,0.75,2.00,2
Ring_Beam,1.00,Foreman,1,7.00,0.35,3
Ring_Beam,1.00,Worker,2,6.40,3.20,3
Block_Wall,5.00,Foreman,1,0.02,0.10,9
Block_Wall,5.00,Worker,2,0.62,1.55,9
Wall_Finishing,27.00,Foreman,1,0.02,1.00,8
Wall_Finishing,27.00,Worker,2,0.62,8.10,8
Door_Frame_A,3.00,Foreman,1,0.25,1.00,2
Door_Frame_A,3.00,Worker,2,0.82,1.00,2
Door_Frame_B,1.00,Foreman,1,0.25,0.00,2
Door_Frame_B,1.00,Worker,2,0.82,0.00,2
Window_Type_A,3.00,Foreman,1,0.25,1.00,2
Window_Type_A,3.00,Worker,2,0.82,1.00,2
Window_Type_B,1.00,Foreman,1,0.25,0.00,2
Window_Type_B,1.00,Worker,2,0.82,0.00,2
Glass_Installation,5.00,Foreman,1,0.25,1.00,2
Glass_Installation,5.00,Worker,2,0.82,2.00,2
Steel_Roof,56.00,Foreman,1,4.50,4.00,22
Steel_Roof,56.00,Worker,2,20.60,21.00,22
Roof_Covering,56.00,Foreman,1,0.40,0.00,22
Roof_Covering,56.00,Worker,2,4.20,4.00,22
LED_Installation,4.00,Worker,3,2.60,3.47,3
Switch_Installation,3.00,Worker,3,2.60,2.60,3
Socket_Installation,4.00,Worker,3,2.60,3.47,3
Plumbing_Fixtures,3.00,Foreman,1,0.04,0.12,2
Plumbing_Fixtures,3.00,Worker,2,0.01,0.02,2
Water_Supply,11.00,Foreman,1,0.04,0.15,2
Water_Supply,11.00,Worker,2,0.01,0.03,2
Drainage_System,12.00,Foreman,1,0.01,0.12,2
Drainage_System,12.00,Worker,2,0.01,0.06,2
Ceiling_Frame,13.00,Foreman,1,0.035,0.45,3
Ceiling_Frame,13.00,Worker,2,0.35,2.26,3
Ceiling_Panel,36.00,Foreman,1,0.005,0.18,3
Ceiling_Panel,36.00,Worker,2,0.10,1.80,3
Floor_Tiling,32.00,Foreman,1,0.035,1.12,12
Floor_Tiling,32.00,Worker,2,0.70,11.20,12
Skirting,4.00,Foreman,1,0.032,0.12,12
Skirting,4.00,Worker,2,0.320,0.64,12
Interior_Painting,27.00,Foreman,1,0.02,0.54,8
Interior_Painting,27.00,Worker,2,0.60,8.10,8
Exterior_Painting,20.00,Foreman,1,0.02,0.40,8
Exterior_Painting,20.00,Worker,2,0.60,6.00,8
Landscaping,33.00,Foreman,1,0.032,1.05,6
Landscaping,33.00,Worker,2,0.320,5.25,6
Quality_Inspection,1.00,Foreman,2,0.080,0.50,1
